mark,model,year,sub_year,body,start_year,end_year
AUDI,100,1990 – 1994,IV (C4),Седан,1990,1994
AUDI,100,1990 – 1994,IV (C4),Универсал 5 дв.,1990,1994
AUDI,100,1988 – 1991,III (C3) Рестайлинг,Универсал 5 дв.,1988,1991
AUDI,100,1988 – 1991,III (C3) Рестайлинг,Седан,1988,1991
AUDI,100,1982 – 1988,III (C3),Седан,1982,1988
AUDI,100,1982 – 1988,III (C3),Универсал 5 дв.,1982,1988
AUDI,100,1976 – 1983,II (C2),Седан,1976,1983
AUDI,100,1976 – 1983,II (C2),Универсал 5 дв.,1976,1983
AUDI,100,1968 – 1976,I (C1),Купе,1968,1976
AUDI,100,1968 – 1976,I (C1),Седан,1968,1976
AUDI,80,1991 – 1996,V (B4),Универсал 5 дв.,1991,1996
AUDI,80,1991 – 1996,V (B4),Седан,1991,1996
AUDI,80,1986 – 1992,IV (B3),Седан,1986,1992
AUDI,80,1978 – 1986,III (B2),Седан,1978,1986
AUDI,80,1978 – 1986,III (B2),Седан 2 дв.,1978,1986
AUDI,80,1972 – 1978,II (B1),Седан,1972,1978
AUDI,90,1992 – 1995,III (B4),Седан,1992,1995
AUDI,90,1987 – 1991,II (B3),Седан,1987,1991
AUDI,90,1984 – 1987,I (B2),Седан,1984,1987
AUDI,A1,2018 – н.в.,II (GB),Хэтчбек 5 дв. citycarver,2018,н.в.
AUDI,A1,2018 – н.в.,II (GB),Хэтчбек 5 дв.,2018,н.в.
AUDI,A1,2014 – 2018,I (8X) Рестайлинг,Хэтчбек 5 дв. Sportback,2014,2018
AUDI,A1,2014 – 2018,I (8X) Рестайлинг,Хэтчбек 3 дв.,2014,2018
AUDI,A1,2010 – 2015,I (8X),Хэтчбек 5 дв. Sportback,2010,2015
AUDI,A1,2010 – 2015,I (8X),Хэтчбек 3 дв.,2010,2015
AUDI,A3,2020 – н.в.,IV (8Y),Хэтчбек 5 дв. Sportback,2020,н.в.
AUDI,A3,2020 – н.в.,IV (8Y),Седан,2020,н.в.
AUDI,A3,2016 – 2020,III (8V) Рестайлинг,Хэтчбек 5 дв. Sportback,2016,2020
AUDI,A3,2016 – 2020,III (8V) Рестайлинг,Хэтчбек 3 дв.,2016,2020
AUDI,A3,2016 – 2020,III (8V) Рестайлинг,Седан,2016,2020
AUDI,A3,2016 – 2020,III (8V) Рестайлинг,Кабриолет,2016,2020
AUDI,A3,2012 – 2016,III (8V),Хэтчбек 3 дв.,2012,2016
AUDI,A3,2012 – 2016,III (8V),Седан,2012,2016
AUDI,A3,2012 – 2016,III (8V),Кабриолет,2012,2016
AUDI,A3,2012 – 2016,III (8V),Хэтчбек 5 дв. Sportback,2012,2016
AUDI,A3,2008 – 2013,II (8P) Рестайлинг 2,Хэтчбек 5 дв. Sportback,2008,2013
AUDI,A3,2008 – 2013,II (8P) Рестайлинг 2,Кабриолет,2008,2013
AUDI,A3,2008 – 2013,II (8P) Рестайлинг 2,Хэтчбек 3 дв.,2008,2013
AUDI,A3,2004 – 2008,II (8P) Рестайлинг 1,Хэтчбек 3 дв.,2004,2008
AUDI,A3,2004 – 2008,II (8P) Рестайлинг 1,Хэтчбек 5 дв. Sportback,2004,2008
AUDI,A3,2003 – 2005,II (8P),Хэтчбек 3 дв.,2003,2005
AUDI,A3,2000 – 2003,I (8L) Рестайлинг,Хэтчбек 3 дв.,2000,2003
AUDI,A3,2000 – 2003,I (8L) Рестайлинг,Хэтчбек 5 дв.,2000,2003
AUDI,A3,1996 – 2000,I (8L),Хэтчбек 3 дв.,1996,2000
AUDI,A3,1996 – 2000,I (8L),Хэтчбек 5 дв.,1996,2000
AUDI,A4,2019 – н.в.,V (B9) Рестайлинг,Универсал 5 дв.,2019,н.в.
AUDI,A4,2019 – н.в.,V (B9) Рестайлинг,Седан,2019,н.в.
AUDI,A4,2015 – 2020,V (B9),Седан,2015,2020
AUDI,A4,2015 – 2020,V (B9),Универсал 5 дв.,2015,2020
AUDI,A4,2011 – 2015,IV (B8) Рестайлинг,Седан,2011,2015
AUDI,A4,2011 – 2015,IV (B8) Рестайлинг,Седан Long,2011,2015
AUDI,A4,2011 – 2015,IV (B8) Рестайлинг,Универсал 5 дв.,2011,2015
AUDI,A4,2007 – 2012,IV (B8),Седан,2007,2012
AUDI,A4,2007 – 2012,IV (B8),Универсал 5 дв.,2007,2012
AUDI,A4,2004 – 2009,III (B7),Седан,2004,2009
AUDI,A4,2004 – 2009,III (B7),Кабриолет,2004,2009
AUDI,A4,2004 – 2009,III (B7),Универсал 5 дв.,2004,2009
AUDI,A4,2000 – 2006,II (B6),Седан,2000,2006
AUDI,A4,2000 – 2006,II (B6),Кабриолет,2000,2006
AUDI,A4,2000 – 2006,II (B6),Универсал 5 дв.,2000,2006
AUDI,A4,1999 – 2001,I (B5) Рестайлинг,Универсал 5 дв.,1999,2001
AUDI,A4,1999 – 2001,I (B5) Рестайлинг,Седан,1999,2001
AUDI,A4,1994 – 1999,I (B5),Универсал 5 дв.,1994,1999
AUDI,A4,1994 – 1999,I (B5),Седан,1994,1999
