url,brend,model,year
https://autorating.ru/cars/acura/rdx-2014/,acura,rdx,2014
https://autorating.ru/cars/acura/tlx-2014/,acura,tlx,2014
https://autorating.ru/cars/acura/mdx-2013/,acura,mdx,2013
https://autorating.ru/cars/alfa-romeo/giulietta-2014/,alfa-romeo,giulietta,2014
https://autorating.ru/cars/alfa-romeo/mito-2014/,alfa-romeo,mito,2014
https://autorating.ru/cars/alfa-romeo/4c-2013/,alfa-romeo,4c,2013
https://autorating.ru/cars/aston-martin/db9-2012/,aston-martin,db9,2012
https://autorating.ru/cars/aston-martin/db9-volante-2012/,aston-martin,db9,volante
https://autorating.ru/cars/aston-martin/v8-vantage-s-2012/,aston-martin,v8,vantage
https://autorating.ru/cars/aston-martin/vanquish-2012/,aston-martin,vanquish,2012
https://autorating.ru/cars/aston-martin/rapide-2010/,aston-martin,rapide,2010
https://autorating.ru/cars/aston-martin/v8-vantage-2009/,aston-martin,v8,vantage
https://autorating.ru/cars/aston-martin/db9-volante-2008/,aston-martin,db9,volante
https://autorating.ru/cars/aston-martin/dbs-2008/,aston-martin,dbs,2008
https://autorating.ru/cars/aston-martin/dbs-volante-2008/,aston-martin,dbs,volante
https://autorating.ru/cars/aston-martin/v8-vantage-roadster-2006/,aston-martin,v8,vantage
https://autorating.ru/cars/aston-martin/db9-2004/,aston-martin,db9,2004
https://autorating.ru/cars/audi/q8-2019/,audi,q8,2019
https://autorating.ru/cars/audi/a6-2018/,audi,a6,2018
https://autorating.ru/cars/audi/q3-2018/,audi,q3,2018
https://autorating.ru/cars/audi/rs4-avant-2018/,audi,rs4,avant
https://autorating.ru/cars/audi/a8-2017/,audi,a8,2017
https://autorating.ru/cars/audi/rs5-2017/,audi,rs5,2017
https://autorating.ru/cars/audi/tt-rs-2017/,audi,tt,rs
https://autorating.ru/cars/audi/tt-rs-roadster-2017/,audi,tt,rs
https://autorating.ru/cars/audi/a3-2016/,audi,a3,2016
https://autorating.ru/cars/audi/a3-cabriolet-2016/,audi,a3,cabriolet
https://autorating.ru/cars/audi/a3-sedan-2016/,audi,a3,sedan
https://autorating.ru/cars/audi/a5-2016/,audi,a5,2016
https://autorating.ru/cars/audi/a5-sportback-2016/,audi,a5,sportback
https://autorating.ru/cars/audi/a6-2016/,audi,a6,2016
